code_postal,ville,population
97224,Ducos,17912
44210,Pornic,17910
13220,Châteauneuf-les-Martigues,17909
92380,Garches,17898
62220,Carvin,17852
25300,Pontarlier,17849
97615,Dzaoudzi,17831
64700,Hendaye,17796
54300,Lunéville,17755
33270,Floirac,17749
97130,Capesterre-Belle-Eau,17731
35510,Cesson-Sévigné,17716
49500,Segré-en-Anjou Bleu,17699
62210,Avion,17672
83170,Brignoles,17664
83470,Saint-Maximin-la-Sainte-Baume,17631
97115,Sainte-Rose,17630
78520,Limay,17626
94470,Boissy-Saint-Léger,17570
84130,Pontet,17551
34970,Lattes,17544
63400,Chamalières,17454
57970,Yutz,17401
94360,Bry-sur-Marne,17400
31130,Balma,17385
95520,Osny,17277
83110,Sanary-sur-Mer,17268
47200,Marmande,17239
78340,Clayes-sous-Bois,17237
38080,Isle-dAbeau,17206
4000,Digne-les-Bains,17192
95280,Jouy-le-Moutier,17175
74300,Cluses,17164
42700,Firminy,17137
14500,Vire Normandie,17135
74700,Sallanches,17133
39000,Lons-le-Saunier,17043
37540,Saint-Cyr-sur-Loire,17004
38120,Saint-Égrève,16995
78220,Viroflay,16960
7100,Annonay,16873
93310,Pré-Saint-Gervais,16865
22400,Lamballe-Armor,16845
71300,Montceau-les-Mines,16831
33440,Ambarès-et-Lagrave,16798
33610,Cestas,16789
6270,Villeneuve-Loubet,16779
53200,Château-Gontier-sur-Mayenne,16710
49270,Orée dAnjou,16709
55100,Verdun,16689
45770,Saran,16679
13160,Châteaurenard,16669
8200,Sedan,16608
34130,Mauguio,16596
45140,Saint-Jean-de-la-Ruelle,16594
78160,Marly-le-Roi,16531
44500,Baule-Escoublac,16468
85500,Herbiers,16453
49250,Loire-Authion,16416
9100,Pamiers,16394
1200,Valserhône,16295
29800,Landerneau,16206
44350,Guérande,16151
13110,Port-de-Bouc,16136
97212,Saint-Joseph,16135
95330,Domont,16078
42600,Montbrison,16064
95490,Vauréal,16034
91400,Orsay,16007
33290,Blanquefort,16004
74150,Rumilly,15998
97240,François,15996
59230,Saint-Amand-les-Eaux,15980
95320,Saint-Leu-la-Forêt,15979
57700,Hayange,15968
76500,Elbeuf,15951
77300,Fontainebleau,15945
78480,Verneuil-sur-Seine,15914
37700,Saint-Pierre-des-Corps,15909
97111,Morne-à-lEau,15898
54200,Toul,15849
97660,Dembeni,15848
74160,Saint-Julien-en-Genevois,15840
78230,Pecq,15832
49110,Montrevault-sur-Èvre,15755
41100,Vendôme,15747
56700,Hennebont,15746
91540,Mennecy,15711
30300,Beaucaire,15680
81600,Gaillac,15663
78110,Vésinet,15646
59450,Sin-le-Noble,15603
28110,Lucé,15602
59139,Wattignies,15531
44980,Sainte-Luce-sur-Loire,15527
13270,Fos-sur-Mer,15469
77186,Noisiel,15461
29490,Guipavas,15460
76290,Montivilliers,15457
78390,Bois-dArcy,15435
13150,Tarascon,15423
42170,Saint-Just-Saint-Rambert,15419
49800,Trélazé,15358
68270,Wittenheim,15262
60300,Senlis,15255
77120,Coulommiers,15250
13320,Bouc-Bel-Air,15248
42800,Rive-de-Gier,15214
95350,Saint-Brice-sous-Forêt,15209
69340,Francheville,15204
2400,Château-Thierry,15204
54400,Longwy,15191
70000,Vesoul,15130
45200,Montargis,15061
57500,Saint-Avold,15045
78420,Carrières-sur-Seine,15038
63500,Issoire,15014
37550,Saint-Avertin,15000
31520,Ramonville-Saint-Agne,14949
49240,Avrillé,14938
72200,Flèche,14937
31320,Castanet-Tolosan,14903
29600,Morlaix,14903
93340,Raincy,14877
59270,Bailleul,14869
1500,Ambérieu-en-Bugey,14854
93350,Bourget,14832
68110,Illzach,14829
57290,Fameck,14798
95360,Montmagny,14775
56300,Pontivy,14774
10100,Romilly-sur-Seine,14766
54600,Villers-lès-Nancy,14761
59320,Haubourdin,14757
22190,Plérin,14704
22100,Dinan,14675
54520,Laxou,14671
55000,Bar-le-Duc,14668
62500,Saint-Omer,14661
97230,Sainte-Marie,14650
77185,Lognes,14650
94410,Saint-Maurice,14603
64500,Saint-Jean-de-Luz,14601
91370,Verrières-le-Buisson,14597
95400,Arnouville,14585
1630,Saint-Genis-Pouilly,14558
40600,Biscarrosse,14551
77310,Saint-Fargeau-Ponthierry,14516
78360,Montesson,14511
97110,Pointe-à-Pitre,14486
61100,Flers,14482
94460,Valenton,14482
83520,Roquebrune-sur-Argens,14448
21300,Chenôve,14445
83120,Sainte-Maxime,14433
44250,Saint-Brevin-les-Pins,14411
54700,Pont-à-Mousson,14338
60110,Méru,14320
40990,Saint-Paul-lès-Dax,14317
57140,Woippy,14302
30800,Saint-Gilles,14264
76230,Bois-Guillaume,14262
56400,Auray,14222
60800,Crépy-en-Valois,14217
59330,Hautmont,14182
82100,Castelsarrasin,14178
29100,Douarnenez,14163
59540,Caudry,14070
83190,Ollioules,14011
79100,Thouars,14000
95340,Persan,13996
19000,Tulle,13992
97650,Bandraboua,13989
91700,Fleury-Mérogis,13983
76380,Canteleu,13966
25400,Audincourt,13944
97680,Tsingoni,13934
77144,Montévrain,13934
64140,Lons,13915
13130,Berre-lÉtang,13912
64140,Billère,13866
97427,Étang-Salé,13836
77127,Lieusaint,13808
26700,Pierrelatte,13799
68170,Rixheim,13795
59390,Lys-lez-Lannoy,13793
59223,Roncq,13784
31650,Saint-Orens-de-Gameville,13766
82200,Moissac,13748
13310,Saint-Martin-de-Crau,13729
69780,Mions,13707
60160,Montataire,13701
77210,Avon,13660
35136,Saint-Jacques-de-la-Lande,13656
84500,Bollène,13605
69220,Belleville-en-Beaujolais,13542
77360,Vaires-sur-Marne,13518
65100,Lourdes,13509
69740,Genas,13483
29280,Plouzané,13473
85200,Fontenay-le-Comte,13471
78330,Fontenay-le-Fleury,13455
29470,Plougastel-Daoulas,13445
2700,Tergnier,13431
59410,Anzin,13422
45500,Gien,13387
97412,Bras-Panon,13344
67540,Ostwald,13310
62600,Berck,13298
61200,Argentan,13291
6510,Carros,13277
62230,Outreau,13270
45200,Amilly,13267
78570,Andrésy,13230
91420,Morangis,13211
77140,Nemours,13189
68260,Kingersheim,13178
59420,Mouvaux,13173
81300,Graulhet,13166
71400,Autun,13145
84170,Monteux,13129
1170,Gex,13078
57800,Freyming-Merlebach,13027
97118,Saint-François,13004
60400,Noyon,12987
59350,Saint-André-lez-Lille,12942
37400,Amboise,12938
40220,Tarnos,12920
3300,Cusset,12909
28200,Châteaudun,12909
53100,Mayenne,12900
74130,Bonneville,12895
33240,Saint-André-de-Cubzac,12854
23000,Guéret,12840
13390,Auriol,12839
59113,Seclin,12834
34990,Juvignac,12783
10120,Saint-André-les-Vergers,12775
14400,Bayeux,12775
6560,Valbonne,12754
45120,Châlette-sur-Loing,12728
49130,Ponts-de-Cé,12725
35830,Betton,12695
85270,Saint-Hilaire-de-Riez,12682
6240,Beausoleil,12674
59560,Comines,12671
34140,Mèze,12664
93430,Villetaneuse,12663
27100,Val-de-Reuil,12647
97429,Petite-Île,12617
30400,Villeneuve-lès-Avignon,12617
3400,Yzeure,12598
66140,Canet-en-Roussillon,12598
50400,Granville,12581
77250,Moret-Loing-et-Orvanne,12581
83550,Vidauban,12573
34430,Saint-Jean-de-Védas,12570
83390,Cuers,12550
31470,Fonsorbes,12546
57150,Creutzwald,12514
33510,Andernos-les-Bains,12472
63430,Pont-du-Château,12459
28500,Vernouillet,12455
11400,Castelnaudary,12448
67240,Bischwiller,12435
78510,Triel-sur-Seine,12388
69530,Brignais,12388
6190,Roquebrune-Cap-Martin,12371
76350,Oissel,12367
7200,Aubenas,12360
57400,Sarrebourg,12359
31240,Union,12358
62440,Harnes,12317
78410,Aubergenville,12317
48000,Mende,12316
29300,Quimperlé,12313
10600,Chapelle-Saint-Luc,12299
73290,Motte-Servolex,12299
60700,Pont-Sainte-Maxence,12291
77410,Claye-Souilly,12282
62160,Bully-les-Mines,12221
67210,Obernai,12216
44110,Châteaubriant,12189
13340,Rognac,12175
68400,Riedisheim,12163
76360,Barentin,12154
44380,Pornichet,12121
83270,Saint-Cyr-sur-Mer,12103
72300,Sablé-sur-Sarthe,12096
95380,Louvres,12083
94510,Queue-en-Brie,12081
83210,Solliès-Pont,12080
42500,Chambon-Feugerolles,12066
59590,Raismes,12055
59770,Marly,12024
14123,Ifs,11981
77160,Provins,11958
56520,Guidel,11947
56890,Saint-Avé,11927
27140,Gisors,11919
35740,Pacé,11918
69290,Craponne,11903
21240,Talant,11894
97215,Rivière-Salée,11887
12000,Onet-le-Château,11873
91860,Épinay-sous-Sénart,11869
57190,Florange,11869
95290,Isle-Adam,11846
57280,Maizières-lès-Metz,11792
29480,Relecq-Kerhuon,11791
59490,Somain,11790
30600,Vauvert,11774
97318,Mana,11764
83310,Cogolin,11762
49150,Baugé-en-Anjou,11757
38170,Seyssinet-Pariset,11753
97220,Trinité,11747
68700,Cernay,11745
13240,Septèmes-les-Vallons,11734
12200,Villefranche-de-Rouergue,11720
97211,Rivière-Pilote,11712
91280,Saint-Pierre-du-Perray,11680
38360,Sassenage,11660
94440,Villecresnes,11642
76210,Bolbec,11635
63300,Thiers,11633
31800,Saint-Gaudens,11613
37170,Chambray-lès-Tours,11589
33185,Haillan,11572
66240,Saint-Estève,11550
62290,Nœux-les-Mines,11520
2300,Chauny,11496
33380,Mios,11469
67800,Hœnheim,11469
84270,Vedène,11457
59610,Fourmies,11456
51300,Vitry-le-François,11454
83250,Londe-les-Maures,11442
97615,Pamandzi,11442
95880,Enghien-les-Bains,11440
97425,Avirons,11434
62680,Méricourt,11431
66750,Saint-Cyprien,11398
13380,Plan-de-Cuques,11396
67700,Saverne,11390
87200,Saint-Junien,11387
76190,Yvetot,11385
22440,Ploufragan,11369
93440,Dugny,11328
59860,Bruay-sur-lEscaut,11309
91180,Saint-Germain-lès-Arpajon,11305
91290,Arpajon,11281
91410,Dourdan,11279
77230,Dammartin-en-Goële,11272
74800,Roche-sur-Foron,11263
33120,Arcachon,11259
31240,Saint-Jean,11243
20137,Porto-Vecchio,11229
49700,Doué-en-Anjou,11228
50440,Hague,11223
59820,Gravelines,11223
59520,Marquette-lez-Lille,11213
7500,Guilherand-Granges,11203
7300,Tournon-sur-Rhône,11191
77000,Vaux-le-Pénil,11174
97640,Sada,11156
78450,Villepreux,11150
77240,Cesson,11140
68500,Guebwiller,11137
59880,Saint-Saulve,11117
44150,Ancenis-Saint-Géréon,11099
33380,Biganos,11095
69680,Chassieu,11092
44160,Pontchâteau,11075
74190,Passy,11068
57350,Stiring-Wendel,11067
87350,Panazol,11064
28300,Mainvilliers,11057
83340,Luc,11053
37270,Montlouis-sur-Loire,11048
42153,Riorges,11045
76150,Maromme,11024
72700,Allonnes,11013
62280,Saint-Martin-Boulogne,10999
36100,Issoudun,10992
11200,Lézignan-Corbières,10952
21800,Chevigny-Saint-Sauveur,10944
69960,Corbas,10932
62630,Étaples,10930
1210,Ferney-Voltaire,10920
49320,Brissac Loire Aubance,10895
67150,Erstein,10887
31780,Castelginest,10876
91070,Bondoufle,10862
81500,Lavaur,10830
57360,Amnéville,10828
38800,Pont-de-Claix,10805
59118,Wambrechies,10798
66700,Argelès-sur-Mer,10792
44470,Thouaré-sur-Loire,10783
59112,Annœullin,10780
25700,Valentigney,10765
91360,Épinay-sur-Orge,10760
76250,Déville-lès-Rouen,10745
37230,Fondettes,10741
78570,Chanteloup-les-Vignes,10735
66380,Pia,10733
83220,Pradet,10728
33320,Taillan-Médoc,10727
78960,Voisins-le-Bretonneux,10721
33850,Léognan,10708
97120,Saint-Claude,10700
24750,Boulazac Isle Manoire,10697
92410,Ville-dAvray,10694
64300,Orthez,10684
